source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND000000AAL,IND411033AAA,18,2.25,3.0696338072574534,2.83030303030303,5.588235294117648,1.0,31.0,15.0,14.4863,['Carting']
IND000000AAQ,IND700028AAB,2,4.9393939393939394,5.416666666666667,6.113636363636363,7.518181818181819,1.0,33.0,7.0,6.924899999999999,['Carting']
IND000000AAS,IND783370AAC,9,1.833333333333333,2.58045318610536,2.3,5.255357142857144,1.0,35.0,14.5,20.94415,['FTL']
IND000000AAZ,IND444203AAA,1,3.208333333333333,4.059095860566448,4.574754901960785,5.394607843137256,1.0,101.0,24.0,32.8635,['FTL']
IND000000AAZ,IND444303AAA,1,2.266183574879227,2.266183574879227,2.377536231884058,2.4443478260869567,1.0,79.5,34.0,46.85345,['FTL']
IND000000ABA,IND683565AAA,7,1.3937728937728937,1.8941042510121457,2.4078947368421053,3.375,0.5,22.0,20.0,17.56595,['Carting']
IND000000ABD,IND562132AAA,12,1.4285714285714286,1.5840831675646816,1.7649769585253456,2.1700000000000004,0.7638888888888888,44.5,29.0,29.4662,['FTL']
IND000000ABG,IND501359AAF,11,2.1666666666666665,4.832986270486271,11.153846153846152,11.6,0.9459459459459459,19.0,11.0,11.3145,['Carting']
IND000000ACA,IND140406AAA,2,1.7421052631578946,2.1973684210526314,2.7,3.25,1.0,24.0,15.0,22.3552,['FTL']
IND000000ACA,IND142001AAB,9,1.5147058823529411,1.5977845450790094,1.6354166666666667,2.03125,0.9166666666666666,24.0,16.0,22.750799999999998,['FTL']
IND000000ACA,IND142401AAA,12,2.333333333333333,2.9186329499748616,3.8676470588235294,6.0666666666666655,0.9166666666666666,24.0,15.0,21.73595,['FTL']
IND000000ACA,IND143001AAA,1,1.625,1.69140989729225,1.6861111111111111,1.880392156862745,1.0,31.0,17.0,25.1575,['FTL']
IND000000ACA,IND144001AAB,17,1.6153846153846154,1.7701984227890255,1.7941176470588234,2.2222222222222223,0.9803921568627451,28.0,17.0,24.9747,['FTL']
IND000000ACA,IND144514AAA,12,1.2487179487179487,1.8824946005230385,2.210526315789474,3.287246963562753,0.5416666666666666,38.5,34.5,30.464000000000002,['FTL']
IND000000ACA,IND147301AAA,3,2.0555555555555554,2.2471046898291482,2.4248366013071894,3.185758513931889,1.0,25.5,17.0,22.672250000000002,['FTL']
IND000000ACA,IND152026AAA,1,1.411764705882353,1.5602757769774576,1.6147058823529412,2.0200000000000005,0.8571428571428571,24.0,17.0,22.7161,['FTL']
IND000000ACA,IND160002AAC,71,1.8666666666666667,2.116895983017366,2.317708333333333,2.8600000000000003,0.96875,29.5,15.0,22.3302,"['FTL', 'Carting']"
IND000000ACB,IND000000AEL,23,1.5454545454545454,2.2236943355771177,2.4,3.6857142857142855,0.8394160583941606,17.0,10.0,10.943700000000002,['Carting']
