hub_id,hub_name,state,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,avg_outgoing_factor,avg_incoming_factor,avg_outgoing_sla_breach,in_wcc,betweenness_centrality_norm,avg_outgoing_factor_norm,avg_outgoing_sla_breach_norm,out_degree_norm,bottleneck_score,bottleneck_rank
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),Haryana,45,49,69.31601827751727,78.3738209448013,0.34782975573649144,1.5994657335673734,1.5403559617226061,0.7941413599203314,1,0.9999999971250303,0.1378849770197835,0.79414135912619,0.9999999999795919,0.7330065830271928,1
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),Karnataka,36,35,55.85170465109473,54.03365416884557,0.215760177646188,1.543818690538445,1.5514362403081872,0.7741113544154804,1,0.6203039661429639,0.13308781813839288,0.774111353641369,0.7142857142711371,0.5510490382356483,2
IND741201AAC,Ranaghat_ArickDPP_D (West Bengal),West Bengal,1,1,2.789473684210526,11.6,0.0016420702248316026,11.6,2.789473684210526,1.0,1,0.0047209020879590835,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5047135399489674,3
IND743270AAA,Helencha_ColnyDPP_D (West Bengal),West Bengal,1,1,2.1,11.6,0.0,11.6,2.1,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,4
IND151103AAA,RampuraPhul_DC (Punjab),Punjab,1,1,1.5,11.6,0.0,11.6,1.5,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,5
IND785634AAA,Mariani_Mainroad_D (Assam),Assam,1,1,2.375,11.6,0.0,11.6,2.375,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,6
IND482002AAA,Jabalpur (Madhya Pradesh),Madhya Pradesh,1,1,11.6,11.6,0.0,11.6,11.6,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,7
IND493445AAB,Mahasamund_RajpurRD_D (Chhattisgarh),Chhattisgarh,1,1,1.565340909090909,11.6,0.0,11.6,1.565340909090909,1.0,0,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,8
IND121002AAA,Faridabad_Old (Haryana),Haryana,1,1,2.909090909090909,11.6,0.0,11.6,2.909090909090909,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,9
IND722151AAA,Simlapal_Central_D_1 (West Bengal),West Bengal,1,1,0.9880952380952381,11.6,0.0,11.6,0.9880952380952381,1.0,1,0.0,0.9999999999137931,0.9999999989999999,0.02040816326488963,0.5030612242181817,10
